Course Name,Perusall,Turnitin,Brainfuse Tutoring,Ed Discussion,InSpace,New Quizzes,Class Recordings,Zoom,Item Banks,VoiceThread,Course Materials @ Penn Libraries
PHY-2300 202230,,,Brainfuse Tutoring,Ed Discussion,,,Class Recordings,Zoom,,,
DIG-3000 202230,,,Brainfuse Tutoring,Ed Discussion,,,Class Recordings,Zoom,,,
LEL-1010 202230,,Turnitin,Brainfuse Tutoring,,,,Class Recordings,Zoom,,,
LEM-2030 202230,,Turnitin,Brainfuse Tutoring,,,,Class Recordings,Zoom,,,
LEN-3100 202230,,Turnitin,Brainfuse Tutoring,,,,Class Recordings,Zoom,,,
LEA-2020 202230,,Turnitin,Brainfuse Tutoring,,,,Class Recordings,Zoom,,,
LEA-3040 202230,,Turnitin,Brainfuse Tutoring,,,,Class Recordings,Zoom,,,
DIG-1600 202230,,,Brainfuse Tutoring,,InSpace,,Class Recordings,Zoom,,,Course Materials @ Penn Libraries
